,age,hrswork1,uhrswork,incwage,ran,wageW,LwageW,educ
949-1,59,12,12,2405,0.6324118,48.1,3.873282177,14
950-1,25,72,25,10005,1.276030205,400.2,5.991964422,12
951-1,58,36,36,12005,1.276069786,230.8653846,5.44183479,12
952-1,58,84,48,27915,0.632532872,536.8269231,6.285675739,12
953-1,25,40,40,17005,1.276099123,327.0192308,5.790018979,15
954-1,41,45,40,16505,0.503043178,634.8076923,6.453322106,16
955-1,24,8,40,6005,1.005125698,125.1041667,4.829146724,16
956-1,51,40,40,8005,0.632771757,153.9423077,5.036577907,12
957-1,51,32,30,2605,0.082460232,50.09615385,3.913944236,12
958-1,30,0,40,7805,0.797009096,159.2857143,5.070699535,13
959-1,38,40,8,10175,1.276583876,211.9791667,5.356487999,12
960-1,35,25,32,8905,1.151212957,185.5208333,5.223167185,16
961-1,59,40,40,1505,1.632883679,188.125,5.237106636,16
962-1,36,20,20,4205,1.63288461,80.86538462,4.392785854,12
963-1,26,13,16,2105,1.633082051,52.625,3.963191292,12
964-1,35,40,40,21505,0.879506115,413.5576923,6.024797027,16
965-1,39,40,40,4375,1.04851136,198.8636364,5.292619345,10
966-1,25,38,40,10925,0.082973856,210.0961538,5.347565301,12
967-1,54,40,40,6005,1.114198007,115.4807692,4.749104016,10
968-1,53,40,8,6385,1.875611953,125.1960784,4.829881136,12
969-1,24,38,38,4045,1.633551903,89.88888889,4.49857434,12
970-1,53,40,40,7005,0.083188526,134.7115385,4.90313574,2
971-1,21,60,50,6005,0.083344057,136.4772727,4.916158101,14
972-1,37,40,40,10265,1.392043196,197.4038462,5.285251611,12
973-1,59,32,35,7005,0.505290926,134.7115385,4.90313574,12
974-1,32,40,40,10005,1.470806543,192.4038462,5.259596528,12
975-1,60,40,40,20105,1.006897073,386.6346154,5.957480101,14
976-1,30,12,40,16005,0.083887018,500.15625,6.21492055,14
977-1,37,18,4,2005,1.943835989,50.125,3.914519886,17
978-1,58,60,60,17805,0.798328314,387.0652174,5.958593199,16
979-1,19,48,40,8845,1.634130254,170.0961538,5.136363888,12
980-1,29,0,40,1205,0.335858203,40.16666667,3.693037464,14
981-1,23,34,38,5755,0.635271426,110.6730769,4.706580603,14
982-1,50,40,40,10005,1.007388812,227.3863636,5.426650613,12
983-1,19,40,25,3005,1.429126132,100.1666667,4.606835465,12
984-1,35,40,16,2305,0.084782019,153.6666667,5.034785754,18
985-1,62,38,40,12365,1.335039269,237.7884615,5.471381461,13
986-1,35,0,40,1005,1.279653516,19.32692308,2.961499102,9
987-1,23,0,40,5005,1.635016873,111.2222222,4.711530202,12
988-1,56,0,30,2005,0.409155153,200.5,5.300814247,5
989-1,57,35,30,5005,1.279948279,128.3333333,4.854631046,8
990-1,38,40,40,16005,0.800141599,307.7884615,5.729412734,10
991-1,19,40,40,3505,1.280050259,120.862069,4.794649969,12
992-1,36,40,40,19005,0.800263137,365.4807692,5.901213663,17
993-1,23,40,40,8115,0.085651875,156.0576923,5.050225761,12
994-1,40,0,18,185,0.800572336,30.83333333,3.428596356,17
995-1,63,45,45,26125,0.08580694,502.4038462,6.219404271,16
996-1,29,40,40,10005,0.085886102,192.4038462,5.259596528,13
997-1,26,0,35,5595,0.409809407,169.5454545,5.133121059,12
998-1,31,32,25,1405,0.086112879,50.17857143,3.915588072,11
999-1,44,40,40,28005,0.086174347,538.5576923,6.288894626,18
1000-1,36,40,35,15,1.336130779,0.535714286,-0.624154309,18
1001-1,44,45,45,18005,1.636409201,346.25,5.847161058,13
1002-1,41,40,40,7005,0.636802986,134.7115385,4.90313574,10
1003-1,42,40,40,16095,1.636531204,309.5192308,5.735020225,18
1004-1,58,0,22,4005,0.086793676,77.01923077,4.344055141,12
1005-1,62,40,40,17005,0.508140307,327.0192308,5.790018979,12
1006-1,22,30,40,4505,1.336477231,100.1111111,4.60628068,12
1007-1,48,24,4,525,0.08698646,10.09615385,2.312154544,5
1008-1,23,0,20,955,0.637674704,95.5,4.559126247,14
1009-1,33,40,40,5825,1.637233887,112.0192308,4.71867056,6
1010-1,21,16,16,5005,1.282038167,96.25,4.566948973,13
1011-1,45,40,40,3005,0.801281072,57.78846154,4.056789128,9
1012-1,23,45,40,7005,1.862538978,175.125,5.165500005,16
1013-1,20,30,30,4905,1.63742248,96.17647059,4.566184739,12
1014-1,22,0,40,10005,0.41086087,250.125,5.521960793,12
1015-1,43,40,40,9805,1.528635155,188.5576923,5.23940402,12
1016-1,31,40,40,15005,0.638431869,288.5576923,5.664895039,12
1017-1,29,40,40,10555,0.638745259,202.9807692,5.313111242,12
1018-1,36,40,40,7005,0.087913126,134.7115385,4.90313574,6
1019-1,49,60,40,5725,0.087943394,110.0961538,4.70135411,11
1020-1,27,0,40,15505,1.712019555,298.1730769,5.697674113,16
1021-1,29,43,40,14705,0.884237699,282.7884615,5.644699132,19
1022-1,37,40,40,6765,0.088279601,130.0961538,4.868273822,10
1023-1,21,0,40,3905,0.639170874,150.1923077,5.011916524,12
1024-1,22,40,40,12005,0.834996346,230.8653846,5.44183479,12
1025-1,40,7,12,1455,1.283022109,36.375,3.593881725,17
1026-1,34,40,40,9005,1.283079386,173.1730769,5.154291539,12
1027-1,34,32,40,13905,1.639096066,347.625,5.851124313,17
1028-1,50,20,20,605,1.639134716,20.16666667,3.004031076,4
1029-1,61,40,40,5005,0.340263359,96.25,4.566948973,4
1030-1,28,0,40,5005,1.880705357,100.1,4.606169686,14
1031-1,33,40,38,12255,1.283161808,235.6730769,5.462445577,14
1032-1,44,40,40,11005,1.639791764,211.6346154,5.354861275,9
1033-1,33,40,40,14005,0.510692131,311.2222222,5.740507198,4
1034-1,50,40,40,19155,0.510842539,368.3653846,5.909075339,12
1035-1,32,56,56,16005,1.825890969,307.7884615,5.729412734,13
1036-1,38,48,40,10005,1.012718771,208.4375,5.339639236,12
1037-1,60,37,37,3385,1.283825375,135.4,4.90823336,12
1038-1,24,24,40,5005,0.803442206,96.25,4.566948973,16
1039-1,26,40,40,7005,1.640215982,134.7115385,4.90313574,16
1040-1,63,40,45,18005,1.640276983,346.25,5.847161058,17
1041-1,38,40,40,16005,0.803564209,381.0714286,5.942986834,18
1042-1,37,40,38,10505,0.80357492,202.0192308,5.308362895,12
1043-1,34,20,20,1005,0.237719156,167.5,5.120983351,12
1044-1,20,40,40,6005,1.640444621,115.4807692,4.749104016,12
1045-1,24,40,40,9005,0.090125483,173.1730769,5.154291539,14
1046-1,33,40,40,8905,0.641317572,181.7346939,5.202547898,7
1047-1,34,40,40,15005,1.285261475,288.5576923,5.664895039,18
1048-1,41,80,80,525,0.413652044,10.09615385,2.312154544,12
1049-1,53,32,32,2355,0.090468675,58.875,4.075416552,8
1050-1,20,32,40,15005,0.513007864,288.5576923,5.664895039,13
1051-1,39,24,32,6085,1.64152449,117.0192308,4.762338287,11
1052-1,44,40,40,26005,0.09073969,500.0961538,6.214800388,11
1053-1,50,40,40,4005,0.342729036,100.125,4.606419405,12
1054-1,22,40,30,4055,1.015221234,90.11111111,4.501043477,14
1055-1,21,27,26,2815,1.641654409,90.80645161,4.508730336,15
1056-1,31,40,40,7005,1.82784861,194.5833333,5.27086052,14
1057-1,29,40,40,4005,1.015504822,133.5,4.894101478,14
1058-1,56,40,40,25545,0.091343187,491.25,6.196953163,20
1059-1,36,40,40,8005,0.091404188,153.9423077,5.036577907,12
1060-1,26,39,35,11405,1.703926828,278.1707317,5.628235068,19
1061-1,62,40,40,10085,1.015927177,193.9423077,5.267560732,12
1062-1,22,40,40,13505,1.286467537,270.1,5.598792261,14
1063-1,36,0,40,13635,1.016195863,278.2653061,5.628574997,12
1064-1,36,38,38,9005,0.091710594,250.1388889,5.522016319,11
1065-1,19,0,12,805,0.091765076,30.96153846,3.432745739,12
1066-1,26,30,30,5505,0.515010674,105.8653846,4.662168331,14
1067-1,22,20,25,1695,1.642759889,42.375,3.746558566,15
1068-1,41,38,38,75000,0.09243004,1442.307692,7.273999674,13
1069-1,56,40,40,18315,1.01661263,352.2115385,5.864231957,20
1070-1,29,10,26,10835,0.515286345,246.25,5.50634728,14
1071-1,32,35,25,4005,0.23999624,78.52941176,4.363473227,8
1072-1,25,40,40,8405,1.016859431,161.6346154,5.085338327,12
1073-1,18,7,40,2035,1.01688318,63.59375,4.152515195,12
1074-1,23,38,40,7405,1.643359661,142.4038462,4.958667008,16
1075-1,19,24,24,6005,0.092952512,300.25,5.704615461,12
1076-1,45,50,50,23475,0.643654726,652.0833333,6.480172366,18
1077-1,35,40,40,8845,1.237594523,170.0961538,5.136363888,12
1078-1,23,20,12,95,0.515943393,47.5,3.860729711,13
1079-1,34,40,40,7205,0.857709907,138.5576923,4.93128679,12
1080-1,60,20,20,2705,0.995786861,53.03921569,3.971031559,11
1081-1,41,38,40,15085,1.643823925,290.0961538,5.670212433,14
1082-1,39,40,40,5005,0.643899664,250.25,5.522460418,18
1083-1,26,40,40,4695,0.516389031,130.4166667,4.870734453,12
1084-1,45,40,8,9055,0.807350501,174.1346154,5.159828652,8
1085-1,65,30,12,1805,0.094831921,180.5,5.195730778,17
1086-1,38,40,40,10005,1.885044388,212.8723404,5.360692645,12
1087-1,64,40,40,13005,1.288390253,250.0961538,5.521845459,12
1088-1,22,40,40,2005,1.017828938,167.0833333,5.11849269,10
1089-1,46,16,40,3205,0.094911084,100.15625,4.606731467,9
1090-1,54,0,20,1355,0.095092691,48.39285714,3.879352223,12
1091-1,56,20,20,5205,1.64526375,144.5833333,4.973856043,14
1092-1,50,56,52,8005,1.288704574,163.3673469,5.096001327,9
1093-1,50,40,32,7805,1.017999835,150.0961538,5.011276114,12
1094-1,46,40,45,11005,0.346442685,211.6346154,5.354861275,12
1095-1,20,40,20,405,1.28905382,67.5,4.212127598,11
1096-1,38,55,50,6745,0.418248121,129.7115385,4.86531305,12
1097-1,41,39,39,13835,0.207165722,266.0576923,5.583713174,12
1098-1,19,40,42,4155,1.646057703,103.875,4.643188253,6
1099-1,31,54,12,3965,0.71379263,76.25,4.334017415,12
1100-1,56,40,32,4505,1.126934774,90.1,4.500920165,11
1101-1,60,35,35,5515,1.646369696,131.3095238,4.877557313,12
1102-1,21,0,40,7005,1.646372955,175.125,5.165500005,12
1103-1,37,45,45,15905,1.646421384,397.625,5.98550935,18
1104-1,60,24,40,6445,0.808606856,161.125,5.082180461,12
1105-1,54,40,40,12595,0.808648765,242.2115385,5.48981147,12
1106-1,30,40,40,12005,1.290479209,230.8653846,5.44183479,12
1107-1,56,40,40,9505,0.096655451,182.7884615,5.208329536,14
1108-1,20,52,40,6505,1.886712387,130.1,4.868303386,12
1109-1,24,40,40,15305,0.09703869,294.3269231,5.684691133,14
1110-1,36,40,40,7005,1.647183206,134.7115385,4.90313574,10
1111-1,36,40,40,5005,1.647321507,96.25,4.566948973,12
1112-1,56,41,40,14005,1.481716055,269.3269231,5.595925969,12
1113-1,25,44,40,12305,0.648153946,236.6346154,5.466517244,12
1114-1,44,55,50,15005,1.481762156,288.5576923,5.664895039,14
1115-1,41,28,30,4505,1.481809653,125.1388889,4.829424232,12
1116-1,38,40,40,6635,1.291446388,132.7,4.888090941,12
1117-1,57,46,40,20005,1.957761124,384.7115385,5.952493803,16
1118-1,47,27,25,3785,1.957767177,72.78846154,4.287557447,8
1119-1,31,40,40,3305,1.536478754,63.55769231,4.151948034,14
1120-1,43,35,40,20005,0.09811949,384.7115385,5.952493803,17
1121-1,60,40,40,13265,1.72068039,255.0961538,5.541640548,17
1122-1,20,40,40,7805,1.020540949,150.0961538,5.011276114,12
1123-1,39,40,40,10005,0.098325312,192.4038462,5.259596528,10
1124-1,35,40,40,9505,1.292349771,182.7884615,5.208329536,11
1125-1,50,40,48,2605,1.958347391,50.09615385,3.913944236,12
1126-1,54,35,35,4205,1.292383764,105.125,4.655150118,12
1127-1,37,40,40,18725,0.650189351,390.1041667,5.966413797,15
1128-1,27,0,35,7505,1.438248903,197.5,5.285738584,12
1129-1,64,8,20,2105,0.421840232,70.16666667,4.250873364,12
1130-1,21,40,40,6005,1.292703208,115.4807692,4.749104016,12
1131-1,25,40,40,11005,1.021128148,211.6346154,5.354861275,12
1132-1,21,40,40,12505,0.650679227,240.4807692,5.482640125,9
1133-1,46,25,20,6455,0.81131421,124.1346154,4.821366585,18
1134-1,23,40,40,12985,1.293175388,249.7115385,5.520306406,14
1135-1,23,40,40,7805,1.53749017,150.0961538,5.011276114,14
1136-1,58,30,40,19205,0.09966502,369.3269231,5.911682222,16
1137-1,30,0,25,1455,0.29219361,72.75,4.287028906,12
1138-1,29,40,40,13005,0.099744648,250.0961538,5.521845459,16
1139-1,22,0,40,8045,1.483379863,154.7115385,5.041562341,14
1140-1,48,15,15,5205,1.293713693,130.125,4.868495527,16
1141-1,25,48,8,9105,1.650747377,175.0961538,5.165335274,13
1142-1,40,40,40,16005,0.100139529,457.2857143,6.125308391,12
1143-1,33,40,40,9735,0.42325398,194.7,5.271459912,12
1144-1,51,40,40,11045,0.521146692,212.4038462,5.358489397,10
1145-1,32,40,8,1735,0.100287609,46.89189189,3.84784478,12
1146-1,24,40,40,14005,1.440387219,269.3269231,5.595925969,12
1147-1,29,22,18,2505,0.895088073,62.625,4.137164559,11
1148-1,58,40,40,8105,1.79241132,155.8653846,5.048992716,5
1149-1,37,56,40,16005,1.022086944,307.7884615,5.729412734,10
1150-1,51,40,40,10045,0.652236398,193.1730769,5.263586559,10
1151-1,28,55,40,13005,0.813139137,250.0961538,5.521845459,12
1152-1,19,0,40,9605,1.133936923,184.7115385,5.218795357,12
1153-1,31,40,40,17005,0.813171268,327.0192308,5.790018979,12
1154-1,18,0,40,1005,1.022438984,77.30769231,4.347793463,10
1155-1,28,25,25,3005,0.652953982,57.78846154,4.056789128,13
1156-1,59,20,40,4865,0.52210642,99.28571429,4.598001697,5
1157-1,41,40,40,13005,0.813806895,250.0961538,5.521845459,18
1158-1,47,35,35,5925,1.614020206,113.9423077,4.735692247,12
1159-1,33,0,40,3005,0.101473648,300.5,5.705447754,16
1160-1,21,24,40,4175,1.023293938,115.9722222,4.753350699,12
1161-1,38,45,35,10405,1.057505142,231.2222222,5.443379249,14
1162-1,26,40,40,4465,1.652216073,153.9655172,5.036728663,14
1163-1,23,43,40,9005,0.522993039,173.1730769,5.154291539,11
1164-1,48,15,15,1405,0.65416377,35.125,3.558913128,12
1165-1,20,40,40,8605,1.61462836,165.4807692,5.10885499,12
1166-1,30,40,40,12005,1.441498753,230.8653846,5.44183479,12
1167-1,25,40,40,15005,0.295242295,319.2553191,5.765991156,11
1168-1,35,60,50,25805,0.101872254,496.25,6.207079832,20
1169-1,51,40,40,7005,1.295992173,134.7115385,4.90313574,14
1170-1,44,40,40,26005,0.654619653,500.0961538,6.214800388,16
1171-1,27,40,40,7085,1.653134823,136.25,4.914491434,12
1172-1,38,40,40,7005,0.102290418,500.3571429,6.215322129,15
1173-1,58,40,40,19005,0.815217849,365.4807692,5.901213663,12
1174-1,35,40,40,13505,0.10240823,259.7115385,5.559571548,16
1175-1,23,0,36,6255,1.34133501,481.1538462,6.176187065,17
1176-1,28,40,38,8505,0.524481758,163.5576923,5.097165786,13
1177-1,52,24,24,1905,0.10265084,36.63461538,3.600993569,12
1178-1,36,8,25,255,0.524643809,255,5.541263545,19
1179-1,18,10,20,905,1.713437028,45.25,3.81220267,8
1180-1,45,40,40,14005,0.524702016,269.3269231,5.595925969,12
1181-1,61,43,41,8905,0.102996361,171.25,5.143124477,11
1182-1,49,40,40,10925,1.654137392,210.0961538,5.347565301,12
1183-1,44,25,40,8005,1.654496416,200.125,5.298942171,12
1184-1,27,40,40,10005,0.525657088,192.4038462,5.259596528,9
1185-1,37,20,20,2605,1.298062038,100.1923077,4.607091416,12
1186-1,20,0,40,6005,0.525944866,115.4807692,4.749104016,12
1187-1,49,56,57,6255,1.654572785,120.2884615,4.789892704,9
1188-1,59,35,35,5005,1.298510935,96.25,4.566948973,11
1189-1,59,20,20,5005,1.298523508,106.4893617,4.66804509,12
1190-1,52,10,10,395,1.298575662,39.5,3.676300672,12
1191-1,33,40,40,13005,1.6548438,260.1,5.561066172,14
1192-1,31,40,40,1305,1.963553485,32.625,3.485078866,16
1193-1,26,40,40,5005,1.418472268,102.1428571,4.626372394,12
1194-1,20,40,40,9005,0.816602726,173.1730769,5.154291539,12
1195-1,40,33,40,6895,0.103642698,132.5961538,4.887308072,10
1196-1,33,40,40,16995,0.10381639,326.8269231,5.789430744,12
1197-1,25,38,38,9005,0.104062725,173.1730769,5.154291539,12
1198-1,19,40,40,6005,0.104233157,115.4807692,4.749104016,13
1199-1,23,7,36,1005,0.427134801,20.1,3.000719815,12
1200-1,39,26,28,4105,0.817359891,85.52083333,4.448760011,12
1201-1,48,0,38,945,0.657411292,118.125,4.771743386,10
1202-1,24,40,40,4405,0.527336728,110.125,4.701616084,12
1203-1,52,16,40,9005,1.026968472,225.125,5.416655803,13
1204-1,38,14,40,20005,0.817772001,384.7115385,5.952493803,10
1205-1,31,12,15,5505,1.027153805,114.6875,4.742211038,14
1206-1,61,16,25,4005,1.027179416,77.01923077,4.344055141,8
1207-1,28,10,60,17635,0.357215293,410.1162791,6.016440727,16
1208-1,22,40,40,2805,0.105084851,70.125,4.250279364,16
1209-1,32,40,40,22005,1.027535647,423.1730769,6.047781261,16
1210-1,51,35,35,2005,1.655975822,111.3888889,4.713027582,11
1211-1,33,36,40,2685,0.528286677,206.5384615,5.330486649,16
1212-1,40,40,40,8345,1.807888504,160.4807692,5.078174118,13
1213-1,21,15,42,2005,1.656267792,182.2727273,5.205504067,15
1214-1,44,40,40,1565,1.300677657,130.4166667,4.870734453,16
1215-1,56,41,41,6005,1.027931459,115.4807692,4.749104016,9
1216-1,51,35,35,8125,1.028056256,156.25,5.051457289,9
1217-1,51,35,7,14615,1.136829611,365.375,5.900924223,16
1218-1,31,49,40,11185,0.658614095,215.0961538,5.371085155,17
1219-1,42,37,37,8895,1.841309015,171.0576923,5.142000882,14
1220-1,57,48,40,18275,0.358125195,351.4423077,5.862045566,12
1221-1,21,40,40,5705,1.894311979,146.2820513,4.985536616,12
1222-1,26,40,40,15005,1.657402143,288.5576923,5.664895039,14
1223-1,53,40,40,8775,1.965982374,168.75,5.12841833,12
1224-1,48,32,40,6235,1.301382203,119.9038462,4.78669014,12
1225-1,31,40,40,14955,1.028877683,373.875,5.923921517,15
1226-1,53,0,40,9505,0.902885105,182.7884615,5.208329536,12
1227-1,61,30,15,2245,0.42950362,59.07894737,4.07887464,15
1228-1,19,36,35,3005,1.301652752,375.625,5.928591305,8
1229-1,18,0,20,405,0.687523745,22.5,3.113515309,10
1230-1,23,0,50,185,0.106862281,46.25,3.834061464,9
1231-1,23,48,50,15705,1.357547008,302.0192308,5.710490693,12
1232-1,23,0,40,7505,1.658349764,144.3269231,4.972081025,12
1233-1,40,40,40,7005,0.819962937,145.9375,4.983178448,12
1234-1,20,0,40,9005,0.107370317,180.1,5.193512252,9
1235-1,48,28,28,4995,1.029531937,96.05769231,4.564948973,11
1236-1,29,30,30,14005,0.530509744,269.3269231,5.595925969,16
1237-1,26,40,40,11005,0.1076716,211.6346154,5.354861275,12
1238-1,34,40,40,9805,0.107727014,188.5576923,5.23940402,10
1239-1,26,40,40,13505,1.658859197,259.7115385,5.559571548,16
1240-1,54,40,40,10005,0.430583954,192.4038462,5.259596528,12
1241-1,39,40,60,12005,1.009023283,333.4722222,5.80955957,17
1242-1,23,26,29,4985,1.659119502,95.86538462,4.562944964,15
1243-1,33,40,40,6035,1.659200061,116.0576923,4.754087415,12
1244-1,25,33,33,2105,0.661204103,175.4166667,5.167164096,12
1245-1,52,8,8,1205,1.659580506,301.25,5.707940485,14
1246-1,22,40,40,7005,0.661382452,155.6666667,5.047716969,12
1247-1,22,30,40,18315,1.030975953,352.2115385,5.864231957,15
1248-1,20,38,38,7005,1.303913537,140.1,4.942356453,12
1249-1,37,58,58,10005,0.10842504,192.4038462,5.259596528,12
1250-1,53,40,40,8505,0.821210444,170.1,5.136386499,16
1251-1,30,40,40,3005,1.659996808,107.3214286,4.675828337,15
1252-1,55,38,38,8975,1.30415801,172.5961538,5.150954495,9
1253-1,27,40,40,12005,0.531800557,235.3921569,5.461252876,14
1254-1,44,40,40,6945,0.662154052,133.5576923,4.894533537,12
1255-1,39,35,35,24005,0.109082088,666.8055556,6.502498483,16
1256-1,26,40,40,7755,0.109128654,149.1346154,5.004849357,14
1257-1,31,32,40,11805,0.532221515,227.0192308,5.425034731,12
1258-1,36,40,40,17405,0.109184068,334.7115385,5.813269082,16
1259-1,54,40,40,12005,1.968361437,230.8653846,5.44183479,12
1260-1,21,40,40,6765,1.031809952,130.0961538,4.868273822,12
1261-1,31,30,30,4205,1.994707622,80.86538462,4.392785854,9
1262-1,29,40,40,10005,1.660973765,222.3333333,5.404177757,12
1263-1,63,35,40,6585,0.822872389,126.6346154,4.841305896,11
1264-1,62,40,40,6005,1.03210099,125.1041667,4.829146724,11
1265-1,41,42,40,4685,0.662873033,90.09615385,4.500877476,12
1266-1,33,20,20,4005,1.897358801,77.01923077,4.344055141,13
1267-1,64,40,40,7045,1.661257818,135.4807692,4.908829706,12
1268-1,18,10,20,305,1.032687258,17.94117647,2.887098433,12
1269-1,19,40,40,3905,0.663411338,130.1666667,4.868815681,9
1270-1,22,20,8,2005,0.110734254,125.3125,4.830810618,15
1271-1,19,0,40,1505,0.663489569,62.70833333,4.138494347,12
1272-1,51,16,32,4895,0.663667452,94.13461538,4.544725836,6
1273-1,44,40,40,12535,1.721699256,241.0576923,5.485036292,12
1274-1,51,40,8,10005,0.363133382,192.4038462,5.259596528,11
1275-1,38,13,40,4185,1.662063878,190.2272727,5.24821953,11
1276-1,24,20,40,10005,0.111565925,192.4038462,5.259596528,12
1277-1,51,24,24,5085,1.969737001,242.1428571,5.489527871,12
1278-1,42,32,32,11005,0.111666042,211.6346154,5.354861275,15
1279-1,49,36,36,4505,1.034059096,90.1,4.500920165,11
1280-1,48,40,40,21005,0.823847484,403.9423077,6.001272065,12
1281-1,42,36,40,9885,0.823850278,190.0961538,5.247530017,12
1282-1,27,40,40,21005,1.662528608,403.9423077,6.001272065,17
1283-1,22,22,18,4225,1.662554219,81.25,4.397530821,9
1284-1,27,40,40,9005,1.044758596,173.1730769,5.154291539,10
1285-1,24,40,40,19555,0.824193005,376.0576923,5.929742569,16
1286-1,29,40,40,38005,0.435012393,730.8653846,6.59422929,16
1287-1,52,40,40,8005,0.364193227,153.9423077,5.036577907,13
1288-1,53,40,40,9005,1.237172633,173.1730769,5.154291539,12
1289-1,26,40,40,15825,0.435386319,304.3269231,5.718102528,17
1290-1,20,24,34,3605,1.307483763,90.125,4.501197596,12
1291-1,29,35,35,4505,0.535752159,150.1666667,5.011745788,14
1292-1,42,50,50,12005,1.362733543,230.8653846,5.44183479,15
1293-1,46,35,35,21615,0.112655107,415.6730769,6.029899079,17
1294-1,23,40,40,10505,1.307994127,218.8541667,5.388405602,12
1295-1,32,40,40,8045,0.824999996,201.125,5.303926605,19
1296-1,50,40,40,3005,0.536265317,57.78846154,4.056789128,11
1297-1,19,24,24,3005,1.142855734,57.78846154,4.056789128,13
1298-1,33,15,38,18675,1.363484655,359.1346154,5.883697291,18
1299-1,19,40,30,2005,1.66402664,125.3125,4.830810618,12
1300-1,61,6,10,755,1.035664231,14.51923077,2.675474031,12
1301-1,51,38,38,6245,0.82528824,120.0961538,4.788292704,12
1302-1,20,10,40,495,0.667179003,49.5,3.90197267,14
1303-1,36,40,40,8905,0.69291424,171.25,5.143124477,14
1304-1,55,40,40,10005,0.113125425,192.4038462,5.259596528,12
1305-1,23,38,40,3505,0.113192014,134.8076923,4.903849261,12
1306-1,34,40,40,2505,0.113226939,278.3333333,5.628819436,14
1307-1,25,40,40,10005,0.113249291,200.1,5.298817242,13
1308-1,51,40,12,14005,1.970822923,350.125,5.858290234,16
1309-1,21,0,37,255,1.665081363,127.5,4.848116365,10
1310-1,20,28,40,5005,1.665109769,128.3333333,4.854631046,11
1311-1,28,40,45,20705,1.036292408,398.1730769,5.986886777,19
1312-1,43,40,40,14005,1.665258314,269.3269231,5.595925969,12
1313-1,28,0,40,205,1.453771256,102.5,4.629862799,2
1314-1,49,40,40,11505,1.309375744,221.25,5.399293284,12
1315-1,31,8,48,7985,1.036378089,173.5869565,5.156678664,10
1316-1,37,40,40,10205,1.901466865,196.25,5.279389357,13
1317-1,58,8,40,8785,1.665904652,175.7,5.168777995,13
1318-1,38,40,40,4005,1.03655085,111.25,4.711779921,16
1319-1,49,30,30,4805,0.511652324,133.4722222,4.893893383,10
1320-1,47,48,45,5205,0.538461842,100.0961538,4.606131262,10
1321-1,43,40,40,15085,0.1148968,290.0961538,5.670212433,17
1322-1,32,45,40,2455,1.500144601,153.4375,5.033293318,12
1323-1,19,8,40,3005,0.114975963,62.60416667,4.136831836,12
1324-1,59,23,20,2005,1.037365291,44.55555556,3.79673685,12
1325-1,26,53,45,8505,1.037396025,163.5576923,5.097165786,18
1326-1,35,51,51,525,1.666277647,10.09615385,2.312154544,13
1327-1,31,40,40,6245,1.310256775,130.1041667,4.868335412,8
1328-1,22,35,35,8255,1.03748776,158.75,5.067330638,12
1329-1,44,40,40,8905,1.037613489,171.25,5.143124477,12
1330-1,37,40,50,10005,1.01776002,192.4038462,5.259596528,12
1331-1,26,38,38,9015,1.310603227,219.8780488,5.393073069,19
1332-1,24,32,40,1305,1.666587312,32.625,3.485078866,8
1333-1,31,30,30,7105,0.828570221,169.1666667,5.130884422,12
1334-1,23,40,40,8005,0.115906354,153.9423077,5.036577907,14
1335-1,25,15,12,505,1.146615017,10.52083333,2.353357418,8
1336-1,49,0,50,2305,1.356976107,192.0833333,5.257929306,8
1337-1,24,32,30,5005,0.116537791,147.2058824,4.991832167,12
1338-1,29,32,32,2305,1.667031087,50.10869565,3.914194559,10
1339-1,50,40,40,15005,1.311400905,288.5576923,5.664895039,14
1340-1,52,40,40,4685,1.667342614,90.09615385,4.500877476,12
1341-1,21,30,32,2785,0.829339959,69.625,4.243123698,15
1342-1,51,23,25,5245,0.117057469,100.8653846,4.613786802,15
1343-1,35,40,40,15005,1.667500939,288.5576923,5.664895039,11
1344-1,43,40,40,4685,1.038913149,90.09615385,4.500877476,14
1345-1,37,40,40,10805,0.829748809,207.7884615,5.33652055,12
1346-1,27,50,45,28005,1.038966235,560.1,6.328115339,12
1347-1,21,48,40,7455,1.039032359,143.3653846,4.965396509,12
1348-1,33,37,37,11005,1.312304754,355,5.872117789,16
1349-1,52,38,38,13985,0.672238413,268.9423077,5.594496887,10
1350-1,52,0,35,4105,0.117687508,146.6071429,4.987756512,13
1351-1,59,40,40,9885,0.117751304,190.0961538,5.247530017,10
1352-1,43,40,40,18795,1.66836055,427.1590909,6.057156522,12
1353-1,32,30,25,1605,1.312619541,80.25,4.385146762,12
1354-1,26,38,37,7005,0.369767658,134.7115385,4.90313574,12
1355-1,33,0,40,3005,0.54151006,250.4166667,5.523126197,9
1356-1,60,0,40,1605,1.668683719,100.3125,4.608290313,15
1357-1,38,40,40,5205,1.284202561,100.0961538,4.606131262,5
1358-1,35,40,40,10895,1.186043955,209.5192308,5.344815529,12
1359-1,20,40,40,3605,0.1181392,150.2083333,5.012023219,12
1360-1,57,40,40,7605,1.313057262,146.25,4.985317486,2
1361-1,22,40,40,3505,1.669111196,159.3181818,5.070903346,14
1362-1,56,32,40,8205,0.916180201,170.9375,5.141297993,12
1363-1,19,51,40,4685,0.118945725,90.09615385,4.500877476,12
1364-1,35,41,40,11055,0.370467547,212.5961538,5.359394375,17
1365-1,28,40,40,5005,1.560143661,96.25,4.566948973,14
1366-1,33,40,40,21005,0.857903622,437.6041667,6.081314773,18
1367-1,49,40,40,23465,1.040983479,451.25,6.11202151,12
